Eg(MeV)	f(MeV^-3)	f_Err(MeV^-3)
7.8	3.22495e-07	2.44651e-07
8	4.337e-07	2.81905e-07
8.3	6.06135e-07	2.92617e-07
8.5	7.04125e-07	2.55118e-07
8.8	1.02511e-06	2.56277e-07
9	1.33001e-06	2.6022e-07
9.3	1.46432e-06	2.23845e-07
9.5	1.82611e-06	2.28263e-07
9.8	2.01803e-06	2.65531e-07
10	2.02104e-06	2.68894e-07
10.3	2.04639e-06	2.69484e-07
10.5	2.61872e-06	2.5609e-07
10.7	2.87782e-06	2.51303e-07
11	3.02801e-06	2.52335e-07
11.2	3.01267e-06	2.32339e-07
11.5	2.97933e-06	2.41363e-07
11.7	2.8172e-06	2.29824e-07
12	2.78291e-06	2.24078e-07
12.2	2.87237e-06	2.13295e-07
12.4	2.77008e-06	2.0286e-07
12.7	2.89589e-06	2.11728e-07
13	2.84908e-06	2.06842e-07
13.2	2.79934e-06	2.03708e-07
13.4	2.89349e-06	2.13613e-07
13.7	2.69084e-06	2.34261e-07
14	2.48448e-06	1.48697e-07
14.2	2.59609e-06	2.26013e-07
14.5	2.3689e-06	2.21337e-07
14.7	2.21276e-06	2.18325e-07
15	2.13959e-06	2.13959e-07
15.2	2.26551e-06	2.11143e-07
15.5	1.85791e-06	2.35037e-07
15.7	1.6685e-06	2.20994e-07
15.9	1.48931e-06	2.61857e-07
16.3	1.46341e-06	2.44788e-07
16.5	1.11973e-06	2.41821e-07
16.7	1.13229e-06	2.49313e-07
17	1.0766e-06	2.39811e-07
17.2	8.92615e-07	2.37022e-07
17.4	9.77071e-07	2.54238e-07
17.7	6.61576e-07	2.40128e-07
18	7.03558e-07	2.40944e-07
18.2	8.4357e-07	2.62126e-07
18.5	5.95458e-07	2.48498e-07
18.7	6.63306e-07	2.73672e-07
18.9	5.36962e-07	2.75365e-07
19.2	5.55678e-07	2.71063e-07
