Eg(MeV)	f(MeV^-3)	f_Err(MeV^-3)
1.212	3.06183e-08	1.07542e-09
1.34	4.20058e-08	1.26981e-09
1.468	5.27331e-08	1.45214e-09
1.596	5.14673e-08	1.56886e-09
1.724	5.373e-08	1.96238e-09
1.852	7.72466e-08	2.38342e-09
1.98	8.06652e-08	2.35101e-09
2.108	7.69179e-08	2.63528e-09
2.236	7.61234e-08	2.89377e-09
2.364	8.46013e-08	3.27789e-09
2.492	8.06272e-08	3.54093e-09
2.62	8.83434e-08	3.87782e-09
2.748	8.39463e-08	4.30092e-09
2.876	8.78327e-08	4.50818e-09
3.004	9.39358e-08	5.31375e-09
3.132	9.67218e-08	5.78194e-09
3.26	1.005e-07	6.54301e-09
3.388	1.01288e-07	6.05851e-09
3.516	1.0924e-07	7.34631e-09
3.644	1.01911e-07	8.19431e-09
3.772	9.09756e-08	9.05394e-09
3.9	1.21811e-07	1.27103e-08
4.028	2.19827e-07	3.79739e-08
