Eg(MeV)	f(MeV^-3)	f_err(MeV^-3)
5.06	1.8068e-07	1.19996e-08
5.56	1.96413e-07	1.31046e-08
6.08	2.23413e-07	1.48371e-08
6.52	2.89089e-07	1.91573e-08
7.05	3.79318e-07	2.52223e-08
7.49	4.50608e-07	2.98784e-08
7.95	5.89505e-07	3.91694e-08
8.49	6.24344e-07	4.14799e-08
8.95	8.84942e-07	5.87312e-08
9.49	1.20284e-06	7.98849e-08
9.95	1.73393e-06	4.2629e-08
10.49	2.4694e-06	4.48997e-08
10.96	3.00741e-06	3.00741e-08
11.45	3.05257e-06	6.18922e-08
11.96	2.97317e-06	2.36432e-08
12.44	2.98639e-06	4.54618e-08
12.91	3.13964e-06	7.29664e-08
13.42	2.98316e-06	5.22896e-08
13.9	2.77849e-06	5.13576e-08
14.41	2.22322e-06	5.59205e-08
14.87	2.04291e-06	3.51743e-08
15.39	1.65257e-06	5.04433e-08
15.84	1.4415e-06	3.86606e-08
16.36	1.28111e-06	1.72844e-08
16.81	9.24573e-07	3.7823e-08
17.32	9.06363e-07	3.53571e-08
